researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
,,MB1A,"Aga Khan University Institute for Human Development",,,"2nd Parklands Avenue, Nairobi, Kenya",-1.2612514,36.8170701,Add researchers names
,,MB1A,Sefako Makgatho Health Sciences University,,,"Molotlegi St, Ga-Rankuwa Zone 1, Ga-Rankuwa, 0208, South Africa",-25.6132262,27.9896045,Add researchers names
,,MB1A,"Maseno University, Main Campus (Maseno)",,,"Near Maseno Post Office,Kisumu-Busia Road,Maseno, Kisumu, Kenya",-0.0089854,34.5996809,Add researchers names
,,MB1A,University of Rwanda,,,"KK 737 St, Kigali, Rwanda",-1.9620707,30.0748506,Add researchers names
,,MB1A,Addis Ababa University,,,"Dejamach Beyene Merid St, Addis Ababa, Ethiopia",8.983482,38.753161,Add researchers names
,,MB1A,Makerere University,,,"University Rd, Kampala, Uganda",0.3326347,32.5685861,Add researchers names
,,MB1A,"University of Jos, Nigeria",,,"Jos, Nigeria",9.8965273,8.8583309,Add researchers names
,,MB1A,Busara Center for Behavioral Economics,,,"5th Floor, Daykio Plaza, Lane, Ngong Ln, Nairobi, Kenya",-1.3010649,36.7855132,Add researchers names
,,MB1A,Universite Cheikh Anta Diop (UCAD),,,"Dakar, Senegal",14.716677,-17.4676861,Add researchers names
,,MB1A,Chancellor College of the University of Malawi,,,"Zomba, Malawi",-15.3765857,35.3356518,Add researchers names
,,MB1A,Accra,,,"Accra, Ghana",5.6037168,-0.1869644,Add researchers names
Liquan Liu,,MB1B,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Connor Waddell,,MB1B,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Leher Singh,,MB1B,National University of Singapore,,,"21 Lower Kent Ridge Rd, Singapore 119077",1.2971365,103.7775268,
Megha Sundara,,MB1B,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Victoria Mateu,,MB1B,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Michael C. Frank,,MB1B,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Angeline Sin Mei Tsui,,MB1B,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Casey Lew-Williams,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christine E. Potter,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Jessica Kosie,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christopher T. Fennell,,MB1B,University of Ottawa,,,"76 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",45.4244969,-75.6864737,
Krista Byers-Heinlein,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Meghan Mastroberardino,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Hilary Killam,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Linda Polka,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Adriel John Orena,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Shila Kerr,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Anja Gampe,,MB1B,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Stephanie Wermelinger,,MB1B,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Çgnes Melinda KovÇ­cs,,MB1B,Central European University,,,"Central European University, Budapest, Nádor u, 1051, Hungary",47.5005395,19.04958,
Maria Julia Carbajal,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Naomi Havron,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Anne-Caroline FiÇ¸vet,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Judit Gervain,,MB1B,"Integrative Neuroscience and Cognition Center (INCC), CNRS & UniversitÇ¸ Paris Descartes",,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
